subject,predicate,value
CDNO:0200115,rdfs:label,concentration of phosphatidylethanolamine in material entity
CDNO:0200116,rdfs:label,concentration of phosphatidyl-L-serine in material entity
CDNO:0200117,rdfs:label,concentration of phosphatidylinositol in material entity
CDNO:0200118,rdfs:label,concentration of lysophosphatidylcholine in material entity
CDNO:0200119,rdfs:label,concentration of glycolipid in material entity
CDNO:0200120,rdfs:label,concentration of glycoglycerolipid in material entity
CDNO:0200121,rdfs:label,concentration of sterol in material entity
CDNO:0200122,rdfs:label,concentration of campestanol in material entity
CDNO:0200123,rdfs:label,concentration of cholesterol in material entity
CDNO:0200124,rdfs:label,concentration of lupeol in material entity
CDNO:0200125,rdfs:label,concentration of phytosterol in material entity
CDNO:0200126,rdfs:label,concentration of avenasterol in material entity
CDNO:0200127,rdfs:label,concentration of isofucosterol in material entity
CDNO:0200128,rdfs:label,concentration of delta7-avenasterol in material entity
CDNO:0200129,rdfs:label,concentration of brassicasterol in material entity
CDNO:0200130,rdfs:label,concentration of campesterol in material entity
CDNO:0200131,rdfs:label,concentration of ergosterol in material entity
CDNO:0200132,rdfs:label,concentration of sitosterol in material entity
CDNO:0200133,rdfs:label,concentration of stigmastanol in material entity
CDNO:0200134,rdfs:label,concentration of stigmasterol in material entity
CDNO:0200135,rdfs:label,concentration of delta7-stigmasterol in material entity
CDNO:0200136,rdfs:label,concentration of mineral nutrient in material entity
CDNO:0200137,rdfs:label,concentration of macro element in material entity
CDNO:0200138,rdfs:label,concentration of calcium(2+) in material entity
CDNO:0200139,rdfs:label,concentration of chloride in material entity
CDNO:0200140,rdfs:label,concentration of magnesium(2+) in material entity
CDNO:0200141,rdfs:label,concentration of nitrogen atom in material entity
CDNO:0200142,rdfs:label,concentration of phosphide in material entity
CDNO:0200143,rdfs:label,concentration of potassium(1+) in material entity
CDNO:0200144,rdfs:label,concentration of sodium(1+) in material entity
CDNO:0200145,rdfs:label,concentration of sulfide(2−) in material entity
CDNO:0200146,rdfs:label,concentration of trace element in material entity
CDNO:0200147,rdfs:label,concentration of aluminium(3+) in material entity
CDNO:0200148,rdfs:label,concentration of antimony(3+) in material entity
CDNO:0200149,rdfs:label,concentration of arsenic(3+) in material entity
CDNO:0200150,rdfs:label,concentration of boron(3+) in material entity
CDNO:0200151,rdfs:label,concentration of cadmium(2+) in material entity
CDNO:0200152,rdfs:label,concentration of chromium(2+) in material entity
CDNO:0200153,rdfs:label,concentration of cobalt(2+) in material entity
CDNO:0200154,rdfs:label,concentration of copper(2+) in material entity
CDNO:0200155,rdfs:label,concentration of fluoride in material entity
CDNO:0200156,rdfs:label,concentration of iodine in material entity
CDNO:0200157,rdfs:label,concentration of iron(2+) in material entity
CDNO:0200158,rdfs:label,concentration of lead(2+) in material entity
CDNO:0200159,rdfs:label,concentration of lithium(1+) in material entity
CDNO:0200160,rdfs:label,concentration of manganese(2+) in material entity
CDNO:0200161,rdfs:label,concentration of mercury(2+) in material entity
CDNO:0200162,rdfs:label,concentration of molybdenum(4+) in material entity
CDNO:0200163,rdfs:label,concentration of nickel(2+) in material entity
CDNO:0200164,rdfs:label,concentration of rubidium(1+) in material entity
CDNO:0200165,rdfs:label,concentration of selenium(2+) in material entity
CDNO:0200166,rdfs:label,concentration of strontium(2+) in material entity
CDNO:0200167,rdfs:label,concentration of tin(2+) in material entity
CDNO:0200168,rdfs:label,concentration of titanium(3+) in material entity
CDNO:0200169,rdfs:label,concentration of vanadium(2+) in material entity
CDNO:0200170,rdfs:label,concentration of zinc(2+) in material entity
CDNO:0200171,rdfs:label,concentration of barium(2+) in material entity
CDNO:0200172,rdfs:label,concentration of caesium(1+) in material entity
CDNO:0200173,rdfs:label,concentration of bismuth(3+) in material entity
CDNO:0200174,rdfs:label,concentration of lanthanum(2+) in material entity
CDNO:0200175,rdfs:label,concentration of salt in material entity
CDNO:0200176,rdfs:label,concentration of sodium chloride in material entity
CDNO:0200177,rdfs:label,concentration of inorganic nitrate salt in material entity
CDNO:0200178,rdfs:label,concentration of bromide in material entity
CDNO:0200179,rdfs:label,concentration of vitamin (molecular entity) in material entity
CDNO:0200181,rdfs:label,concentration of 5-formyltetrahydrofolic acid in material entity
CDNO:0200182,rdfs:label,concentration of B vitamin in material entity
CDNO:0200183,rdfs:label,"concentration of (6R)-5,10-methenyltetrahydrofolate in material entity"
CDNO:0200184,rdfs:label,concentration of vitamin B1 in material entity
CDNO:0200185,rdfs:label,concentration of riboflavin in material entity
CDNO:0200186,rdfs:label,concentration of nicotinic acid in material entity
CDNO:0200187,rdfs:label,concentration of (R)-pantothenic acid in material entity
CDNO:0200188,rdfs:label,concentration of pyridoxine in material entity
CDNO:0200189,rdfs:label,concentration of biotin in material entity
CDNO:0200190,rdfs:label,concentration of folic acid in material entity
CDNO:0200191,rdfs:label,concentration of cyanocob(III)alamin in material entity
